host,plan_line,plan,installs_included,est_visits_per_month,storage,bandwidth,billing_term,entry_price_per_month_usd,monthly_price_usd,year_1_total_usd,renewal_price_per_month_usd,renewal_year_total_usd,three_year_total_usd,notes,source_url,checked_date
Kinsta,Business,Launch,1,75000,15 GB,15 GB,annual,29.17,35,350.00,29.17,350.00,1050.00,Annual billing is ten months for twelve; first month free promotion active,https://kinsta.com/pricing/,2026-09-21
Kinsta,Business,Launch,1,75000,15 GB,15 GB,monthly,35.00,35,420.00,35.00,420.00,1260.00,Monthly billing: price times 12,https://kinsta.com/pricing/,2026-09-21
Kinsta,Business,Launch Plus,1,125000,25 GB,25 GB,annual,49.17,59,590.00,49.17,590.00,1770.00,Annual billing is ten months for twelve,https://kinsta.com/pricing/,2026-09-21
Kinsta,Business,Build,2,200000,30 GB,40 GB,annual,57.50,69,690.00,57.50,690.00,2070.00,Annual billing is ten months for twelve,https://kinsta.com/pricing/,2026-09-21
Kinsta,Business,Expand,5,350000,40 GB,65 GB,annual,82.50,99,990.00,82.50,990.00,2970.00,Annual billing is ten months for twelve,https://kinsta.com/pricing/,2026-09-21
Kinsta,Business,Scale,10,650000,50 GB,125 GB,annual,140.83,169,1690.00,140.83,1690.00,5070.00,Annual billing is ten months for twelve,https://kinsta.com/pricing/,2026-09-21
Kinsta,Business,Lead,20,1500000,60 GB,275 GB,annual,249.17,299,2990.00,249.17,2990.00,8970.00,Annual billing is ten months for twelve,https://kinsta.com/pricing/,2026-09-21
Kinsta,Agency,Agency 20,20,,50 GB,250 GB,annual,283.33,340,3400.00,283.33,3400.00,10200.00,Unbranded admin; Agency Directory; hosting credits for eligible agencies,https://kinsta.com/pricing/,2026-09-21
Kinsta,Agency,Agency 40,40,,100 GB,500 GB,annual,375.00,450,4500.00,375.00,4500.00,13500.00,Unbranded admin; Agency Directory; hosting credits for eligible agencies,https://kinsta.com/pricing/,2026-09-21
Kinsta,Agency,Agency 60,60,,150 GB,750 GB,annual,562.50,675,6750.00,562.50,6750.00,20250.00,Unbranded admin; Agency Directory; hosting credits for eligible agencies,https://kinsta.com/pricing/,2026-09-21
Kinsta,Enterprise,Enterprise,,,custom,custom,quote,500.00,,,,,,Starting price only; SOC 2 / ISO 27001; custom terms,https://kinsta.com/pricing/,2026-09-21
Cloudways,DigitalOcean,2 GB / 1 vCPU / 50 GB,unlimited,,50 GB,2 TB,monthly,11.00,11,132.00,11.00,132.00,396.00,Hourly billing at 0.0357 USD; no first-term discount; overage 0.40 USD per 10 GB bandwidth,https://www.cloudways.com/en/pricing.php,2026-09-21
Cloudways,DigitalOcean,8 GB / 4 vCPU / 160 GB,unlimited,,160 GB,5 TB,monthly,88.00,88,1056.00,88.00,1056.00,3168.00,Hourly billing; no first-term discount,https://www.cloudways.com/en/pricing.php,2026-09-21
Cloudways,DigitalOcean,128 GB / 24 vCPU / 2560 GB,unlimited,,2560 GB,11 TB,monthly,342.00,342,4104.00,342.00,4104.00,12312.00,Hourly billing at 1.0848 USD; no first-term discount,https://www.cloudways.com/en/pricing.php,2026-09-21
WP Engine,Managed Hosting Platform,Essential,1,,,annual,28.00,,336.00,,,unknown,Headline price is first-year pricing for new customers; renewal pricing stated as subject to change; 20 USD per additional site per month,https://wpengine.com/plans/,2026-09-21
WP Engine,Managed Hosting Platform,Core,30,,,quote,,,,,,,Quote-based; isolated resources; managed migrations; 99.99% uptime guarantee,https://wpengine.com/plans/,2026-09-21
WP Engine,Managed Hosting Platform,Enterprise,50,,,quote,,,,,,,Custom; SOC 2 Type II; advanced DDoS and managed WAF,https://wpengine.com/plans/,2026-09-21
SiteGround,Shared/WordPress,StartUp,1,,10 GB,12-month prepay,2.99,17.99,35.88,17.99,215.88,467.64,First-term discount 83 percent; renewal at standard rate; free email and CDN included,https://www.siteground.com/wordpress-hosting.htm,2026-09-21
SiteGround,Shared/WordPress,GrowBig,unlimited,,50 GB,12-month prepay,4.99,29.99,59.88,29.99,359.88,779.64,First-term discount 83 percent; renewal at standard rate,https://www.siteground.com/wordpress-hosting.htm,2026-09-21
SiteGround,Shared/WordPress,GoGeek,unlimited,,100 GB,12-month prepay,7.99,44.99,95.88,44.99,539.88,1175.64,First-term discount 82 percent; renewal at standard rate; one-click staging; priority support,https://www.siteground.com/wordpress-hosting.htm,2026-09-21
hosting.com,WordPress,Small,1,30000,20 GB NVMe,100 GB,yearly prepay,4.49,9.99,53.87,9.99,119.88,293.63,Yearly term gives 2 months free; monthly billing equals the renewal rate,https://hosting.com/hosting/platforms/wordpress-hosting/,2026-09-21
hosting.com,WordPress,Medium,5,120000,50 GB NVMe,300 GB,yearly prepay,4.99,17.99,59.89,17.99,215.88,491.65,Yearly term gives 2 months free; monthly billing equals the renewal rate; WP Rocket and Object Cache Pro included,https://hosting.com/hosting/platforms/wordpress-hosting/,2026-09-21
hosting.com,WordPress,Advanced,15,250000,100 GB NVMe,600 GB,yearly prepay,10.99,25.99,131.89,25.99,311.88,755.65,Yearly term gives 2 months free; monthly billing equals the renewal rate,https://hosting.com/hosting/platforms/wordpress-hosting/,2026-09-21
hosting.com,WordPress,Turbo,50,500000,200 GB NVMe,1.2 TB,yearly prepay,14.99,34.99,179.88,34.99,419.88,1019.64,Yearly term gives 2 months free; monthly billing equals the renewal rate; Relay cache included,https://hosting.com/hosting/platforms/wordpress-hosting/,2026-09-21
